"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC7A5",1.53021680770801,10.4505817174616,12.7997761846202,7.84553404584484e-35,6.68257230723097e-33,68.2501089148552
"CRY2",-0.63781639965457,9.83842090689052,-12.7941122464392,8.35237172613115e-35,7.07853010860311e-33,68.1881935584883
"PLK1",1.26244348569096,8.8001428872161,12.7925376184657,8.49897657745637e-35,7.16676199894009e-33,68.1709839911549
"ALG3",0.623858709940848,9.95463598725067,12.7777828112629,1.00033331889567e-34,8.33755633944835e-33,68.0097980726364
"KIAA0232",-0.708829989941016,10.4767649926554,-12.7774900581155,1.00357185704596e-34,8.33755633944835e-33,68.0066012972547
"ZNF24",-0.638169335880091,11.5056765537071,-12.7665730543705,1.13208452542999e-34,9.35912035361603e-33,67.8874283898155
"BARX1",1.98494737145455,2.51108278779608,12.7641083091692,1.16329316488581e-34,9.57021425648737e-33,67.8605326759183
"CHIC1",-0.810839007128084,7.86858873267664,-12.7625712614172,1.18318712249658e-34,9.68662661208975e-33,67.8437620364428
"P2RY12",-1.48579376504084,3.75722322159712,-12.7478489057984,1.39174285398653e-34,1.12844919386937e-32,67.6832006140564
"SYNGAP1",-0.684027149263046,8.51172524158903,-12.7451487337827,1.43378462370164e-34,1.15697500855158e-32,67.653767068297
"MRPS17",0.628909345150301,8.28284049337993,12.7288290457316,1.71616948496605e-34,1.37824754114059e-32,67.475967611056
"MBLAC2",-0.703218995197243,7.47434267553107,-12.7066332161957,2.1909641515567e-34,1.74295332150961e-32,67.2344114472918
"BBS4",-0.70364611268894,8.66456631845439,-12.6943701662997,2.50717595968665e-34,1.98514190423077e-32,67.1010832135492
"GREB1",-2.14344421289236,9.93873562061229,-12.6701354959734,3.27170825480117e-34,2.56638882405682e-32,66.8378676955567
"WNK4",-2.85220346330411,7.62889477082837,-12.6685658950483,3.32855347626547e-34,2.58691494825885e-32,66.8208325673473
"CENPA",1.35676189985635,6.65935695593333,12.6564429816161,3.80200875712309e-34,2.94132466462757e-32,66.6893118841294
"DMXL1",-0.752936157466467,9.67652156540829,-12.6483272689928,4.15582361986548e-34,3.20036371456764e-32,66.6013157687766
"BTG3",1.11327706441602,8.3008160131924,12.6391432966906,4.59585702333016e-34,3.52314221356651e-32,66.5017859402126
"PLAUR",0.995408805075852,9.28284551085316,12.6241037776739,5.41870537767392e-34,4.11650748623742e-32,66.3389102156845
"GUCA1A",0.94259638187092,1.1411309404571,12.5777306826774,8.99637419271925e-34,6.77338619465224e-32,65.8375787725484
"SOX11",2.22632313852975,6.07044169093233,12.5554480014797,1.14724606905928e-33,8.59924664652652e-32,65.5971594727232
"INTU",-0.807094051861099,6.71966930929465,-12.5437768800624,1.30289135415266e-33,9.72268260521445e-32,65.4713570006268
"C5",-1.00326066542422,6.94892733660567,-12.5335630567542,1.45623274219463e-33,1.07716514022423e-31,65.361332277358
"PER2",-0.685587945134117,9.39943354803921,-12.5255085230392,1.58970936189758e-33,1.16567166906099e-31,65.2746135716431
"SLC28A1",1.50283926309798,1.73745571211686,12.5250801795772,1.59713902325883e-33,1.16604976741386e-31,65.270002967465
"DOCK1",-0.678929700639051,10.5861122368681,-12.5237700556818,1.62007832112829e-33,1.17437703952679e-31,65.2559017635762
"TTC28",-0.793036304783776,8.66590643956973,-12.5236344287574,1.62247168816924e-33,1.17437703952679e-31,65.2544420368948
"PGM1",0.70484529492755,10.2254045472515,12.4966829068819,2.17510388929457e-33,1.55436979207428e-31,64.9645957675537
"CBX7",-0.898779329848793,9.14801264972156,-12.4941431440321,2.23597119919248e-33,1.59112465292748e-31,64.9373056431942
"FDPS",0.596174512246353,11.1098587573518,12.4917297784174,2.29537827961787e-33,1.62653591116619e-31,64.9113774115431
"BTNL9",-1.51928138925354,6.16384967604746,-12.4807386738484,2.58641721067363e-33,1.82510151707158e-31,64.7933394578267
"PGPEP1",-0.790921504092882,9.22508907343694,-12.4705122231972,2.8900589586978e-33,2.01230630628495e-31,64.6835813129887
"ACACB",-1.2728098275065,8.5696580456809,-12.4702135976566,2.89943926728279e-33,2.01230630628495e-31,64.6803772174576
"ITPR1",-1.25888887142494,10.09835566774,-12.4615639111532,3.18468408085606e-33,2.20121709113268e-31,64.5875948524394
"MYBL2",1.60490716524305,9.34578811836565,12.4520007587003,3.53263537346289e-33,2.4023344989295e-31,64.4850686024357
"TRIM23",-0.625847545609503,8.27535253413388,-12.4479850337981,3.68978691473829e-33,2.49912675972133e-31,64.4420332375357
"GMPS",0.618831914473882,10.5327584560812,12.4444635207227,3.83330915931846e-33,2.57564776780501e-31,64.4043025216645
"NUTF2",0.618604011365671,10.6206839492288,12.4345418305331,4.26823298236739e-33,2.85649798601691e-31,64.2980399267727
"FRY",-1.06395292140427,9.20150088979305,-12.4219401415627,4.8920542438309e-33,3.26104722617423e-31,64.1631632982715
"KRT6A",3.10887979985507,4.12932417898406,12.4142455304844,5.31672251613875e-33,3.53017815884567e-31,64.0808564799496
"PHGDH",1.58515989062042,9.74659583473506,12.4046723086777,5.89658814712513e-33,3.89984153338296e-31,63.9785067287451
"KIAA1328",-0.607163365696122,6.89130972779947,-12.3998952739596,6.20904625516531e-33,4.09045176145949e-31,63.9274557980879
"ZNF655",-0.769179570457585,9.83862172691204,-12.3961132956852,6.46805415490725e-33,4.24450324212104e-31,63.8870489642575
"SRL",-1.08114904804961,3.68585123488341,-12.3874405052919,7.10330029857986e-33,4.62537295504051e-31,63.7944224708721
