Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM519369	0.024906938359653	0	0.159548750718662	0.0498236687062176	0	0.124433591674709	0.0340489642534845	0.0592071075485987	0	0.164969993089178	0	0	0	0.111777754015641	0.111138793707201	0.0831465804387968	0.0124582820616929	0	0.0645395754261666	0	0	0	0	0.609625826371695	0.808099597224167
GSM519370	0.0324640204776826	0	0.107769632389734	0.0454891083654743	0	0.0374666642181735	0.0021674438217449	0.221230221716176	0	0	0.00826668853689595	0.0297546413924666	0.0230108419820581	0.101028982067923	0.0361387930445056	0.205193143802129	0.113343007050245	0.00100207828343977	0.0307870256420757	0	0.00488770720927598	0	0.042	0.155472735730656	1.01930497429875
GSM519371	0	0.0271768475297244	0.0489952690175256	0	0	0.0771680293009901	0	0.0975572835638713	0.00456718766051194	0	0.0245760765639725	0	0	0.2313234185794	0.118782487580223	0.228078329108577	0.0182216027514815	0	0.0332609563742198	0.0549223211767658	0	0.0353701907927373	0	0.454629659690867	0.889857731065657
GSM519372	0.0862986884870655	0	0.0113998538865555	0	0	0.19859421919408	0.0575540806096905	0.10559866742637	0	0.231096506341986	0	0	0	0.0714866530285455	0.163656475078093	0.0344725537455764	0	0.00762181960827005	0.0269040650019928	0	0	0.00531641759177508	0	0.622047347233417	0.792122031548324
GSM519373	0.0277070902700974	0.0274288683373061	0.0378763654246341	0	0.0260349513440495	0.192899050367355	0	0.0388619645362819	0	0.142284786332276	0.0407583986036838	0	0	0.184424548752683	0.194211069737906	0.0350294542059833	0.0249971965833315	0.012312745997372	0.0151735095070407	0	0	0	0	0.607149881184269	0.802091234848406
GSM519374	0	0.0371621112518307	0.0107967784177752	0	0	0.127929011190038	0	0.113384503900871	0.0110726042162562	0.0399890769875137	0.00137571186586182	0	0	0.389815774745478	0.059671736767621	0.0563652714018125	0.0581593015756389	0	0.0373546808862694	0.0400429789971916	0	0.016880457795842	0	0.50643886346248	0.86206328690692
GSM519375	0.043083296368923	0	0.0218249037049416	0.0249090284040983	0	0.13854668395293	0.0319295292198734	0.104977964165514	0	0.0158511041393208	0.0131430921930298	0	0	0.237731474103946	0.16134226597637	0.0753876387036487	0.0709280269734632	0	0.0603449920939414	0	0	0	0	0.650590585259538	0.784865013585693
GSM519376	0.00354591271127105	0	0.0637084558014318	0.0126904876819744	0	0.220137665833807	0.0108846605009138	0.115018578385917	0.0032976938691724	0.0801797686999449	0	0	0	0.104329255354954	0.167456285214192	0.0876134481686635	0.047097828607806	0	0.0732867116259534	0	0	0.0107532475439987	0.00700000000000001	0.282942642772836	0.971925979919296
GSM519377	0.0812634616453397	0	0.0498199748615496	0.0221872402898683	0	0.101667437082809	0.0185344785051648	0.0770878488027884	0	0.139903779027022	0	0	0	0.219841342428271	0.17853436666721	0.0774123988601692	0.00434621983247551	0	0.0278494452047787	0.000230760124374124	0	0.00132124666817963	0.001	0.435421592412255	0.900171910226514
GSM519378	0	0.0304589490562074	0.0156867525713426	0.0477832745297483	0	0.101487059451266	0	0.0623001018348571	0.0964217128723816	0.0377826404137768	0.024149952348617	0	0	0.297272321345362	0.175200247414052	0.0777485223892744	0.0109683403367967	0	0.0115047269126764	0.0112353985236419	0	0	0.001	0.387948786960782	0.927465263790975
