Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-A2-A0T7-01	0.0736624446986117	0	0.00438068803002629	0.0632661141832753	0	0.225907643108639	0	0.03251478622283	0.0215510234361697	0	0.0253394363868834	0	0.000684722010176521	0.092287951154968	0.0324098632565567	0.352188806035921	0	0.0341651084299483	0.0416414130459934	0	0	0	0.117	0.124571015295084	1.0419412539005
TCGA-A2-A0YC-01	0.0998105900782256	0	0.0249838593313456	0.0542134253239458	0	0.107559904035837	0	0.0402155021808489	0.0306210796393733	0	0.0160107741984883	0	0.0276050263544328	0.0895146588105013	0.0377272964818346	0.260606084036885	0.0565229058913758	0	0.141855148301585	0	0	0.0127537453353205	0.156	0.109064859717159	1.03508345901305
TCGA-A2-A0YD-01	0.0623841744446055	0	0.0107085229596771	0.0461197084614397	0	0.165923237641276	0	0.0570111445060728	0.0483688061938871	0	0.0137385631446411	0	0	0.137190978644325	0.0968023218068785	0.276930723625255	0	0	0.0848218185719428	0	0	0	0.074	0.144201925956021	1.03237236218233
TCGA-A2-A0YE-01	0.116958833214486	0	0.177707662355588	0.0100672398875323	0	0.0888246605494354	0	0.113214893842302	0.0414971505994904	0	0.0031763979177166	0.0248978186141018	0.00120494087884997	0.126827620073901	0.0536125388365487	0.146117468699511	0	0.0691017373952061	0.0267910371353311	0	0	0	0.378	0.0534900563837183	1.04811239517834
TCGA-A2-A0YF-01	6.0935090589643e-05	0	0.0176790657946748	0	0	0.199573769511191	0	0.0321288771215733	0.0402339679830927	0	0	0.03902590169193	0.00665572273449622	0.342710656166725	0.0112325955185284	0.216323917858838	0.00271917454346126	0	0.0709076168407082	0	0.0207477991441906	0	0.01	0.268331577186346	0.994861581314611
TCGA-A2-A0YG-01	0.0588726185106552	0	0.0267756661184157	0	0	0.235694371569557	0	0.0679796975732306	0.0306375762391438	0	0.0161833867961761	0	0	0.177317123964843	0.0965149413388963	0.216714245149806	0	0	0.0733103727392768	0	0	0	0.295	0.0674902171613718	1.06448701096735
TCGA-A2-A0YH-01	0.0535553819577576	0	0.0308214841107141	0	0	0.168689485598471	0	0.0856359753822599	0.0185617425151847	0	0.0246472906062111	0	0.00272138864652297	0.144344821091177	0.0756831178355306	0.277028445666285	0	0.0144104023433231	0.095487859310078	0	0	0.00841260493648459	0.011	0.258325800780873	0.980373355060289
TCGA-A2-A0YI-01	0.071676206466931	0	0.0292753352905751	0.0523219904374464	0	0.216119906925978	0.00620572379115956	0.0343847768607142	0.0415307338431712	0	0.0308071649967423	0	0	0.143553935196479	0.056319442606419	0.277543711510397	0.00167754996729709	0	0.03858352210669	0	0	0	0.021	0.210858315656053	1.0023560677881
TCGA-A2-A0YJ-01	0	0	0.0197477684057848	0	0	0.309318961391313	0	0.0774850220814304	0.000425916691920783	0	0.0355822962950259	0	0	0.51156986938629	0.0020993755190806	0.0144016636397378	0	0	0.0237259659232868	0	0	0.00564316066613011	0.0629999999999999	0.154579861411224	1.08133682078423
TCGA-A2-A0YK-01	0.181740816566731	0	0.00880728198665999	0.144488022917662	0	0.202980599795317	0.0266878199394987	0.135580480475964	0.00427637319927597	0.0122959792657146	0	0	0	0	0.0956702224793428	0.150885065092444	0	0	0.0365873382813905	0	0	0	0.00900000000000001	0.291631983227699	0.97054728362489
TCGA-A2-A0YL-01	0.0767845336941219	0	0.0377248950426726	0.147114187651999	0	0.263981477385691	0	0.0385600169533944	0.00494081879918873	0	0.00327141105013859	0.00681416345671855	0.022164294421115	0.00564447792653788	0.0944943158642574	0.21294414921545	0	0	0.0855612585387149	0	0	0	0.182	0.0987586001486261	1.04889562356426
TCGA-A2-A0YM-01	0.0383288627055625	0	0	0.00790566734421274	0	0.106764097566715	0.000276473727603102	0.0503841785179202	0.0276409810758866	0	0.018571612612218	0	0.00457454077337286	0.537610072302464	0.0807933786941653	0.0558730149647339	0	0.0712771197151455	0	0	0	0	0.003	0.411403462905494	0.937325940755889
TCGA-A2-A0YT-01	0.000917225321926726	0	0.0255842434808372	0.026519982819825	0	0.256048395752579	0	0.0265434561868826	0.0103076135392501	0	0.00337102260737573	0.023072734491135	0.0765988314420536	0.00996021794733063	0	0.25202454605737	0	0.136244146829355	0.141946772029747	0	0.0108608114943314	0	0.345	0.0594033213028468	1.05721206837253
TCGA-A2-A1FV-01	0.080473206918642	0	0.0362988808541275	0	0	0.273892410428161	0	0.0629771317289757	0	0	0	0.0381304289441332	0.00214721753414115	0	0.013092775130534	0.266548297616113	0	0.00269287928288563	0.223746771562286	0	0	0	0.612	0.0195636434044745	1.07631149184831
TCGA-A2-A1FW-01	0.130176518365869	0	0.0860972636494381	0.0444571967762792	0	0.294098484136399	0	0.0204772839916584	0	0	0	0.00751564228387035	0.00372459813028756	0.00983918557785098	0.0565690053960404	0.275697783496642	0	0.00117959362325724	0.0701674445724069	0	0	0	0.785	-0.00229306336572168	1.0773538323048
TCGA-A2-A1FX-01	0.0279955184138852	0	0.0200167378748559	0.0484782586015525	0	0.13042117936512	0	0.0634120195970643	0.000355601437579363	0	0.033252172012295	0	0.058161331850126	0	0.0600239012483934	0.41783727101182	0	0	0.133602405152948	0	0	0.00644360343436084	0.287	0.068963878610777	1.0625589260043
TCGA-A2-A1FZ-01	0.0751284076018182	0	0	0.0225718055765609	0	0.200552155801075	0	0.0454863370749745	0.00422428105987745	0	0.00910846328498943	0	0.0617292234825375	0.00935241649258527	0.0564003883207214	0.418830987654768	0.0312201677697803	0	0.0653953658803126	0	0	0	0.17	0.103661572905586	1.05052554113062
TCGA-A2-A1G0-01	0.118661579478165	0	0.132216495375126	0.0622765785654828	0	0.232326597248146	0	0.0204946396359403	0	0	0.00798373039021572	0	0.0109989031176562	0	0.0442068720901031	0.237667014720712	0.059786636237812	0	0.0733809531406405	0	0	0	0.164	0.105214524499742	1.02824148893674
TCGA-A2-A1G1-01	0.011866902783881	0	0.057449535540089	0	0	0.13078927228367	0.0181349455852459	0.120827127504059	0	0.0331665826683281	0	0.0111397604046383	0	0.121398481861943	0.1982484863996	0.176599504284243	0.00101653103404198	0	0.119362869650261	0	0	0	0.02	0.218424510726576	1.00978518432285
TCGA-A2-A1G4-01	0.103585122502088	0	0.09768697493322	0.104277911441604	0	0.140712312711869	0	0.0968241788024574	0	0	0.0350933715470079	0	0.0257438716762995	0.0282521512737729	0.0358418047830087	0.258439860492346	0	0	0.0513262702904958	0	0.02221616954583	0	0.559	0.0264336616634065	1.0609673906187
TCGA-A2-A1G6-01	0.0925454877087578	0	0.0711200486330579	0.068988935951679	0	0.116800921302176	0	0.0609917149767124	0.0317402663097663	0	0.00864311107641772	0.000256669091173756	0.0167870211703635	0	0.00143773942089302	0.352008348246844	0.0362253987738367	0.0132330413117205	0.129221296026601	0	0	0	0.166	0.10428949641392	1.03585162522874
TCGA-A2-A259-01	0.138076616588697	0	0	0.0124133550369762	0	0.209449597615418	0	0.0191540623477966	0.046257317293497	0	0.0301013974695229	0	0.0354475307331664	0.0297184365436317	0.0456431865310306	0.137534634070651	0	0.0468452382336292	0.249358627535984	0	0	0	0.031	0.191976580777668	1.00564053623337
TCGA-A2-A25A-01	0.0948208262163358	0	0.0187055932270644	0.0834079552890249	0	0.219328057070544	0	0.0428187892848037	0.0188228398309984	0	0.0150575848599917	0	0.00386547895965761	0	0.0987030139160368	0.267370678271221	0.00198389716362302	0	0.135115285910698	0	0	0	0.074	0.143868946043467	1.02672622077417
TCGA-A2-A25B-01	0.0195079656472596	0	0.0504094967900458	0	0	0.238495811623541	0	0.0791231557102336	0.00746637104158564	0	0	0	0.000604227702099655	0.167864630509738	0.105987839130228	0.213120880627442	0	0	0.117419621217828	0	0	0	0.07	0.147408432139165	1.03054037192916
TCGA-A2-A25C-01	0.136137115495143	0	0.0574837379997215	0	0	0.234127857093507	0	0.0585805376924056	0.00763644613547911	0.0111551571341577	0	0.0125483081860523	0.00659669232065243	0.0355959718817703	0.0368265392730108	0.255733815434808	0	0.078079287595422	0.06949853375787	0	0	0	0.363	0.0559675552709733	1.05332768886648
TCGA-A2-A25D-01	0.0756231684022597	0	0.0187884020336932	0.0257418580561951	0	0.236877790218487	0.00769580913574328	0.10513510095103	0.0260701806543544	0	0.0896824148173973	0	0.029992780435646	0	0.124087664119843	0.168747290947688	0	0	0.0915575402276627	0	0	0	0.00700000000000001	0.314091915303741	0.956295880336576
TCGA-A2-A25E-01	0.202953867515587	0	0.0283685114315488	0.00494833089404447	0	0.190003779510286	0.00176626396771011	0.0803103842046565	0.0214180043523579	0	0.00291306853748804	0	0.00237759370974137	0.0374060425882166	0.0880000666631148	0.267421612249901	0.00330417129745277	0	0.0688083030778944	0	0	0	0.27	0.0739225797840965	1.05367765400434
TCGA-A2-A25F-01	0.0458468887172591	0	0	0.102210156872648	0	0.223112627152366	0.0239385489277001	0.0475642650386266	0.0216930052470193	0	0.0453402675339531	0	0.0162336207641785	0.190289851480829	0.115158236570727	0.139537960342684	0	0	0.0290745713520096	0	0	0	0.002	0.483512516377431	0.874596746644969
